"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"09-SEP-2024","INDOAMIN","Indo Amines Limited","AAKRAYA RESEARCH LLP","SELL","6,13,704","232.24","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","AAKRAYA RESEARCH LLP","BUY","6,13,704","232.11","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","6,02,035","229.74","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","6,02,035","229.66","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","HRTI PRIVATE LIMITED","SELL","8,33,443","232.67","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","HRTI PRIVATE LIMITED","BUY","8,60,184","232.99","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","MATHISYS ADVISORS LLP","SELL","4,25,573","234.04","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","MATHISYS ADVISORS LLP","BUY","4,28,519","234.20","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","QE SECURITIES LLP","BUY","5,26,197","233.16","-"
"09-SEP-2024","INDOAMIN","Indo Amines Limited","QE SECURITIES LLP","SELL","5,87,599","233.65","-"
"09-SEP-2024","IOLCP","IOL Chem and Pharma Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","3,12,396","483.44","-"
"09-SEP-2024","IOLCP","IOL Chem and Pharma Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","3,12,396","483.68","-"
"09-SEP-2024","JAYBEE","Jay Bee Laminations Ltd","ASHWIN STOCKS AND INVESTMENT PRIVATE LIMITED","SELL","1,50,000","320.25","-"
"09-SEP-2024","JAYBEE","Jay Bee Laminations Ltd","CAPRI GLOBAL HOLDINGS PRIVATE LIMITED","BUY","1,50,000","346.00","-"
"09-SEP-2024","JAYBEE","Jay Bee Laminations Ltd","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","1,66,000","320.25","-"
"09-SEP-2024","JEYYAM","Jeyyam Global Foods Ltd","DEEPAK KARSANDAS THAKKAR","BUY","3,00,000","63.38","-"
"09-SEP-2024","JEYYAM","Jeyyam Global Foods Ltd","NNM SECURITIES PVT LTD","SELL","1,84,000","63.81","-"
"09-SEP-2024","JEYYAM","Jeyyam Global Foods Ltd","NNM SECURITIES PVT LTD","BUY","6,88,000","61.12","-"
"09-SEP-2024","KAMDHENU","Kamdhenu Ispat Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","1,44,120","629.93","-"
