"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"09-SEP-2024","TRENT","Trent Ltd.","DODONA HOLDINGS LIMITED","SELL","10,18,500","7,020.00",
"09-SEP-2024","TRENT","Trent Ltd.","SIDDHARTHA YOG","BUY","10,18,500","7,020.00",
"10-SEP-2024","TRENT","Trent Ltd.","DODONA HOLDINGS LIMITED","SELL","1,19,900","7,080.00",
"10-SEP-2024","TRENT","Trent Ltd.","SIDDHARTHA YOG","BUY","1,19,900","7,080.00",
"11-SEP-2024","ARVINDFASN","Arvind Fashions Limited","ICICI PRUDENTIAL LIFE INSURANCE CO LTD","BUY","43,48,000","574.85",
"11-SEP-2024","ARVINDFASN","Arvind Fashions Limited","MAHINDRA MANULIFE MUTUAL FUND","BUY","12,75,000","574.85",
"11-SEP-2024","ARVINDFASN","Arvind Fashions Limited","MULTIPLES PRIVATE EQUITY FUND II LLP","SELL","4,58,614","574.85",
"11-SEP-2024","ARVINDFASN","Arvind Fashions Limited","PLENTY CI FUND I LIMITED","SELL","17,76,592","574.85",
"11-SEP-2024","ARVINDFASN","Arvind Fashions Limited","PLENTY PRIVATE EQUITY FUND I LIMITED","SELL","33,87,794","574.85",
"12-SEP-2024","PNBHOUSING","PNB Housing Fin Ltd.","ASIA OPPORTUNITIES V (MAURITIUS) LIMITED","SELL","16,22,000","1,097.30",
"12-SEP-2024","PNBHOUSING","PNB Housing Fin Ltd.","GOLDMAN SACHS (SINGAPORE) PTE.- ODI","BUY","92,000","1,097.30",
"12-SEP-2024","PNBHOUSING","PNB Housing Fin Ltd.","GOVERNMENT OF SINGAPORE","BUY","13,16,168","1,097.30",
"12-SEP-2024","PNBHOUSING","PNB Housing Fin Ltd.","MONETARY AUTHORITY OF SINGAPORE","BUY","2,13,832","1,097.30",
"13-SEP-2024","EDELWEISS","Edelweiss Fin Serv Ltd","ABU DHABI INVESTMENT AUTHORITY","BUY","35,68,500","124.00",
"13-SEP-2024","EDELWEISS","Edelweiss Fin Serv Ltd","ASHOKA INDIA EQUITY INVESTMENT TRUST PLC","BUY","6,60,300","124.00",
"13-SEP-2024","EDELWEISS","Edelweiss Fin Serv Ltd","EDELWEISS EMPLOYEES WELFARE TRUST","SELL","98,79,000","124.00",
"13-SEP-2024","EDELWEISS","Edelweiss Fin Serv Ltd","INDIA ACORN ICAV","BUY","53,73,800","124.00",
"13-SEP-2024","EDELWEISS","Edelweiss Fin Serv Ltd","INDIA ACORN ICAV - ASHOKA WHITEOAK EMERGING MARKETS EQUITY FUND","BUY","2,76,400","124.00",
"13-SEP-2024","JAGSNPHARM","Jagsonpal Pharma Ltd.","INFINITY HOLDINGS","SELL","22,00,000","400.00",
"13-SEP-2024","JAGSNPHARM","Jagsonpal Pharma Ltd.","INFINITY PORTFOLIO HOLDINGS","BUY","22,00,000","400.00",
"16-SEP-2024","EDELWEISS","Edelweiss Fin Serv Ltd","EDELWEISS EMPLOYEES WELFARE TRUST","SELL","27,50,000","124.00",
"16-SEP-2024","EDELWEISS","Edelweiss Fin Serv Ltd","WHITEOAK CAPITAL ASSET MANAGEMENT LIMITED","BUY","12,66,070","124.00",
"16-SEP-2024","EDELWEISS","Edelweiss Fin Serv Ltd","WHITEOAK CAPITAL ASSET MANAGEMENT LIMITED","BUY","14,83,930","124.00",
"16-SEP-2024","GANESHHOUC","Ganesh Housing Corp Ltd","KOTAK JAYESHBHAI TALAKSHIBHAI","BUY","1,75,000","820.00",
"16-SEP-2024","GANESHHOUC","Ganesh Housing Corp Ltd","KUNVARJI INFRA PROPERTIES PRIVATE LIMITED","SELL","1,75,000","820.00",
"17-SEP-2024","NUVOCO","Nuvoco Vistas Corp Ltd","KOTAK SPECIAL SITUATIONS FUND","SELL","45,00,000","352.00",
